client_id;employee_id;client_full_name;client_marital_status;client_gender;create_date;end_date;country
177920;I107; Patricia Shah;S;F;2020-08-28;; South Africa
153680;I025; Douglas Baker;M;M;2021-01-27;;South Korea 
120080;I139;Kristine Bryant ;M;F;2022-08-15;2024-08-26; Germany
105480;I090; Patricia Oconnell;S;F;2021-11-03;;Turkey 
167510;I150;Todd Lawson ;S;M;2020-10-02;; South Korea
184280;I052; Amanda Welch;M;F;2021-12-09;;South Africa 
141490;I103;Kelli Chandler ;S;F;2024-08-27;;United Kingdom 
170270;I066; Lori Powell;S;F;2020-06-29;;Denmark 
152390;I086;Heather Hoffman ;S;F;2023-08-20;; New Zealand
121360;I028;Scott Doyle ;S;M;2020-10-16;; Indonesia
161610;I134; Erin Chapman;M;F;2022-11-15;;Finland 
133960;I047;Ronald Russell ;M;M;2023-11-17;;South Korea 
187190;I131;Alexander Blake ;M;M;2021-12-27;; Egypt
143320;I052;Lisa Lewis ;M;F;2020-05-06;; Germany
167620;I060; Ashley Brown;M;F;2024-08-11;; Kenya
181930;I039;Troy Olsen ;M;M;2020-10-08;;United Kingdom 
131840;I039; Cody Garza;M;M;2020-05-17;;Sweden 
171150;I016;Michelle Vance ;M;F;2024-04-28;; Belgium
173860;I051;Rachel Boyd ;S;F;2024-05-12;; Norway
176460;I042; Paul James;M;M;2022-05-09;; Canada
116240;I089; Shannon Johnson;S;F;2024-03-04;;Canada 
177360;I039; Bradley Rodriguez;M;M;2024-05-13;;Malaysia 
196910;I124;Jackie Barrera ;M;F;2021-01-01;2023-05-17; Germany
133230;I133; Stephanie Hoffman;M;F;2023-06-26;;Luxembourg 
160940;I015; Jon Mora;S;M;2022-02-06;;Ireland 
196200;I042;Robert Smith ;S;M;2022-07-26;2024-09-03; Luxembourg
134900;I115; Jesse Tanner;M;M;2024-12-11;2025-07-27; France
120100;I107;KYLE CRUZ ;M;M;2024-03-09;;France 
134690;I024; Alyssa Wood;M;F;2021-07-18;2021-12-03;New Zealand 
114690;I132; Linda Perez;S;F;2023-01-27;;Sweden 
106860;I083;James Tanner ;S;M;2020-04-27;;France 
173510;I115;Tammy Martin ;M;F;2021-01-24;;Austria 
152180;I004;Patricia Mullins ;M;F;2021-05-03;; Germany
134180;I106;Richard Hayes ;M;M;2022-02-22;; United States
162700;I021;Jessica Fisher ;S;F;2023-05-13;;Denmark 
198180;I132;Andrea Hernandez ;M;F;2022-01-24;;Thailand 
185070;I131;Sara Davis ;M;F;2024-08-01;2026-09-22;New Zealand 
153200;I096; Brooke Perry;M;F;2024-02-26;;Singapore 
179290;I129; Melissa Morse;M;F;2021-05-02;; Thailand
140650;I101; Barbara Cruz;M;F;2022-02-07;; Finland
184210;I112;Michael Chavez ;M;M;2022-12-06;; Canada
143690;I108;Susan Wood ;S;F;2024-09-24;;Switzerland 
117010;I042;Patrick Porter ;S;M;2024-07-28;; Denmark
123450;I135;WESLEY GILL ;S;M;2024-07-10;;Belgium 
113300;I088; Jennifer Rasmussen;S;F;2021-08-19;;Canada 
170770;I078; Heather Flowers;M;F;2020-08-18;;Switzerland 
181460;I075; Joseph Reyes;M;M;2025-03-11;; Austria
113820;I030;Aaron Gallegos ;M;M;2024-02-25;; Netherlands
168320;I080; Jillian Lyons;M;F;2021-07-31;; Ireland
181640;I049; Anthony Hahn;M;M;2021-05-24;;New Zealand 
179560;I043; Sierra Rhodes;M;F;2021-06-11;;Germany 
180900;I087;Frederick Finley ;S;M;2025-03-14;; United Kingdom
100010;I093;Thomas Carr ;M;M;2024-07-01;;Denmark 
160610;I012; Jamie Williams;M;F;2023-11-26;;Finland 
105810;I062;Cassidy Lee ;S;F;2020-05-08;; Canada
110200;I115;Mary Willis ;M;F;2024-11-20;;Netherlands 
173000;I119; Larry Jones;M;M;2024-03-10;2024-07-20;Norway 
193800;I022; William Boone;M;M;2025-03-15;;Malaysia 
136410;I041; Michelle Salazar;S;F;2020-12-14;2022-02-20; Norway
125880;I108; Mackenzie Taylor;M;F;2021-05-12;; Ireland
180520;I059; Heather Ortiz;M;F;2021-07-27;; Egypt
189980;I125; Matthew Webb;S;M;2021-02-15;; Sweden
136850;I145;Nancy Ramos ;S;F;2020-07-21;;Australia 
193110;I097; Tonya Huff;S;F;2025-02-05;; United States
127580;I086;William Parks ;M;M;2021-01-20;;Australia 
152090;I065; Stephanie Wolfe;S;F;2022-10-31;;Denmark 
136390;I133;Melissa Alexander ;M;F;2023-03-29;;Switzerland 
130020;I090; aimee montoya;S;F;2022-10-02;2025-03-27; Germany
123710;I099; Donna Aguilar;M;F;2022-08-19;; Switzerland
114390;I073; Dustin Rice;S;M;2024-05-16;;Netherlands 
194980;I087; Amy Kim;M;F;2023-07-30;; Malaysia
120480;I106;Karen Martin ;S;F;2022-04-08;;Austria 
161030;I012;Debra Hernandez ;M;F;2024-08-03;; Switzerland
113830;I114; Jessica Anderson;S;F;2022-01-12;; Australia
195220;I066; Charles Moore;S;M;2020-11-17;;Finland 
164450;I048; Jacob Perkins;M;M;2022-03-09;; Finland
181680;I080;joshua davenport ;S;M;2025-02-27;; Netherlands
176680;I026; Spencer Juarez;M;M;2022-06-09;;Bangladesh 
137860;I012;Angela Vasquez ;M;F;2022-04-03;; France
124610;I050;Monique Diaz ;S;F;2021-01-11;;Germany 
103880;I117;Heather Jordan ;M;F;2022-04-13;; Austria
102000;I022;Alejandra Lee ;S;F;2021-10-04;2023-12-06;Australia 
196150;I144; Kenneth Brown;S;M;2025-01-20;; France
194640;I033; William Sutton;M;M;2022-10-05;2023-02-12; Australia
139320;I078; Juan Randall;M;M;2024-08-25;; Denmark
107960;I148;Jeffrey Bowman ;S;M;2024-09-29;; Luxembourg
170350;I043; Nicole Castaneda;S;F;2023-10-08;;Luxembourg 
181970;I136; Bradley Duncan;S;M;2020-08-16;; Netherlands
192550;I133;Judith Gomez ;S;F;2021-10-16;2022-11-04; Vietnam
116520;I108; David Simmons;S;M;2022-03-05;; Ireland
137200;I009; Robin Peck;M;F;2022-11-12;2022-12-26; Canada
146990;I056; Danielle Armstrong;M;F;2022-06-04;; Netherlands
121310;I029;David Long ;S;M;2024-10-13;2025-06-14; Mexico
181810;I026; Christopher Olsen;S;M;2025-02-13;; France
199510;I071;Jessica Munoz ;M;F;2022-02-18;2022-04-07; Australia
156210;I057;Anthony Pena ;M;M;2020-04-10;2021-09-27;United Kingdom 
163570;I092;Deanna Gonzales ;S;F;2022-03-21;;United States 
161300;I088;Anna Evans ;S;F;2023-05-05;; Japan
111180;I104;Brian Walker ;S;M;2021-11-10;; Germany
122020;I146; Sue Frank;M;F;;; Luxembourg
100790;I017; Scott Boyd;M;M;2025-02-27;; United Kingdom
135660;I006; Kelly Mcclain;S;M;2023-03-29;; Finland
161740;I048;Michelle Taylor ;S;F;2020-12-16;;Switzerland 
164960;I140; Lori Berger;S;F;2020-07-16;2022-05-08; France
125290;I084; Nicole Turner;M;F;2024-05-09;2024-06-21; South Korea
164470;I038; Derek Evans;M;M;2025-01-30;; Peru
103450;I010; Kristen Ayers;S;F;2024-07-01;;South Korea 
169860;I111;Jessica White ;S;F;2022-07-01;; Finland
104150;I049; Johnny Vargas;M;M;2022-09-27;;Argentina 
136660;I043;Catherine Reeves ;M;F;2022-09-27;; France
106390;I004;Stephen Perez ;S;M;2025-01-29;; India
162470;I028; Haley Quinn;S;F;2021-02-01;;Austria 
181830;I049; Frances Patterson;M;F;2024-08-29;;Turkey 
131290;I117; Krista Taylor;M;F;2020-12-02;2023-02-25;New Zealand 
144540;I069; Kimberly Flores;M;F;2023-02-26;;Vietnam 
181840;I140;Evelyn Pierce ;S;F;2022-11-13;;Netherlands 
183410;I094; Ryan Allen;S;M;2023-04-30;;Ireland 
196570;I072; Jerry Pacheco;S;M;2021-10-21;; Germany
159390;I098; Laura Smith;M;F;2023-11-11;;Philippines 
129600;I008; Nicole Lewis;S;F;2024-10-14;; Chile
147580;I053; Shannon Nguyen;S;F;2024-04-03;; Denmark
170180;I011;Timothy Hall ;S;M;2023-02-06;; Singapore
169920;I082; Gregory Evans;M;M;2020-11-07;;Germany 
124990;I075;Megan Morrison ;M;F;2021-09-12;2022-08-10; Canada
149510;I135;Amanda Riley ;S;F;2022-05-24;; Norway
134510;I040; Melissa Fowler;M;F;2022-09-18;;Austria 
174930;I146;Alexander Wang ;M;M;2020-12-15;;United States 
158980;I001;Ronald Johnson ;M;M;2024-04-29;; Belgium
164630;I044; Kimberly Morris;S;F;2020-11-19;; Singapore
161200;I143;Dennis Garza ;S;M;2024-12-23;2027-03-21;New Zealand 
107350;I111;Amanda Wood ;M;F;2023-12-23;; Australia
148230;I033; Kayla Ewing;S;F;2023-05-08;2025-05-12; Switzerland
123100;I128;Catherine Jackson ;M;F;2024-07-13;;Denmark 
196820;I070; Colin Jones;S;M;2024-04-01;; Turkey
196710;I002; Alison Greer;S;F;2023-07-28;; Switzerland
198720;I089; Erica Dixon;M;F;2020-07-04;;Singapore 
120540;I079;Zachary Michael ;S;M;2020-10-16;;Nigeria 
149500;I052;Donald Lee ;S;M;2021-06-13;; Turkey
126470;I069;Christina Rivas ;S;F;2024-05-12;;United States 
187620;I064; Gregory Roberts;S;M;2022-08-27;;United States 
124880;I010;Sylvia Kennedy ;M;F;2021-05-21;; France
157420;I143;Clinton Hughes ;S;M;2024-03-27;;Japan 
149860;I134; Michael Hernandez;M;M;2024-08-05;2027-04-26;Singapore 
161800;I130;Zachary Richardson ;M;M;2023-03-27;2024-01-11;Austria 
138670;I072; Debbie Carrillo;M;F;2024-03-22;; Finland
123060;I097; Carl Allen;S;M;2023-04-03;;Norway 
128300;I054; Judy Robinson;M;F;2022-10-10;2024-02-08; Mexico
186300;I031;Michele Ford ;S;F;2021-11-13;; United States
130540;I134; Misty Robinson;S;F;2025-02-06;;Japan 
144680;I015;Steven Pierce ;M;M;2022-12-19;; Ireland
108960;I123; Jonathan Mccann;M;M;2020-08-29;; Switzerland
170550;I149;Dana Reyes ;M;F;2023-06-14;;Turkey 
186640;I008; Krystal Rodriguez;M;F;2022-12-15;;Germany 
175460;I021;Peter Randolph ;S;M;2025-02-06;; Austria
136600;I022; Tara Wells;M;F;2023-10-12;;Switzerland 
102390;I033;Kyle Robinson ;S;M;2022-06-15;; South Korea
158000;I065;Keith Wheeler ;M;M;2021-05-25;2022-03-18;South Korea 
191000;I110;Ryan Sullivan ;M;M;2022-01-12;;Russia 
194540;I142;Mary Morales ;S;F;2024-11-19;;Thailand 
121880;I040;Michael Gutierrez ;S;M;2023-01-16;; Thailand
122160;I011;Tiffany Jones ;S;F;2024-02-28;; Turkey
184790;I089; Meghan Jenkins;M;F;2020-06-14;;Colombia 
187070;I022;Charles May ;S;M;2023-11-03;; Vietnam
187500;I122;Brandon Barnes ;M;M;2020-03-22;; Germany
184960;I119;Edwin Hayden ;S;M;2022-05-02;; Norway
112890;I115; Nicole Anderson;M;F;2024-07-16;2026-05-12;New Zealand 
102570;I061; Holly Lawrence;S;F;2023-12-11;; Finland
171110;I104; Sarah Anderson;S;;2023-07-03;;Russia 
149760;I013;Bryan Zimmerman ;M;M;2020-04-20;;Switzerland 
159430;I149;BRANDON WILLIAMS ;M;M;2021-02-19;2021-11-09;Australia 
141630;I138;MELANIE WILSON ;M;F;2024-10-09;;France 
116190;I036;Kevin Jacobson ;M;M;2022-06-27;; United Kingdom
137390;I109;John Mendez ;S;M;2024-01-08;;Thailand 
110700;I037;Sylvia Johnson ;M;F;2020-12-30;2021-10-17;Austria 
137240;I143; Thomas Watson;S;M;2024-05-17;;United Kingdom 
145050;I006;Nicole West ;S;F;2022-07-23;; Ireland
164890;I123; Rebecca Green;M;F;2024-06-10;; Sweden
191290;I115;Stephanie Cole ;S;F;2024-09-08;;France 
118370;I137; Rachel Greer;S;F;2022-02-04;; Japan
179340;I060; Cynthia Washington;M;F;2020-11-23;2021-11-20;Bangladesh 
131360;I084; Charles Carrillo;M;M;2022-11-16;;Austria 
